"71","Starlight Citadel","Swap this Location with a random other Location, transferring any Agents in each to the new Location. These Locations transfer ownership, if you did not own them prior.","true","false"
"72","Strange Academy","Upset: Agents stationed here are randomly sent to other Locations you own with available space.","true","false"
"73","Subterranea","Regroup: Rocks are placed in 3 random empty spaces across your owned Locations.","true","false"
"74","The Bifrost","Upset: Agents stationed here are moved to the next Location you own with available space (excluding Medbay). Then, two random Agents from your HQ are stationed here.","true","false"
"75","The Big House","4, 5, and 6-cost Agents may not be stationed here.","true","false"
"76","The Hub","The first month you own this Location, gain a free Recruit.","true","false"
"77","The Ice Box","Regroup: One of your random Agents is selected. That Agent cannot be stationed this month, but heal any Wound on that Agent.","true","false"
"78","The Nexus","A random Agent stationed here activates its Character Ploy this month.","true","false"
"79","The Peak","Only Agents with lower POW than their Cost may be stationed here.","true","false"
"80","The Raft","If you fully occupy this location, a random 6-cost Merc is added to your Squad this month. (if one is available).","true","false"
"81","The Sacred Timeline","Only your starting Agents may be stationed here.","true","false"
"82","The Space Throne","Only one Agent may be stationed here.","true","false"
"83","The Superflow","Upset: If nothing is present here, gain 1 Influence.","true","false"
"84","The Triskelion","Upset: If nothing is present here, gain 3 random Mercs this month.","true","false"
"85","The Vault","This Location cannot be targeted for a Raid.","true","false"
"86","Throne Room","Only Captains may be stationed here.","true","false"
"87","Tinkerer's Workshop","Agents stationed here provide 2 poins toward Influence calculation instead of 1.","true","false"
"88","Titan","At least 1 Agent stationed here must be 6-cost.","true","false"
"89","TVA","If this location is fully occupied, both players receive -1 Influence this month.","true","false"
"90","Vibranium Mines","For each Agent stationed here, gain 1 Vibranium. 4 Vibranium may be spent during Planning to Repair a Location.","true","false"
"91","Vormir","The first time each Campaign you station Agent(s) here, one of those Agents must be eliminated. ","true","false"
"92","Wakanda","Agents stationed here are immune to Character Ploys this month.","true","false"
"93","Wakandan Embassy","If you fully occupy this Location, you may send all Agents here away to gain 1 Influence this month.","true","false"
"94","Warrior Falls","If two or more Agents are stationed here, they fight. If their POW is not equal, the Agent(s) with the lowest POW are Wounded.","true","false"
"95","Washington D.C.","Agents without effects provide +2 IP if stationed here.","true","false"
"96","Weirdworld","Upset: Swap units stationed here with random enemy stationed units this month.","true","false"
"97","Westview","Regroup: This Location has the effect of a random other Location this month.","true","false"
"98","Worldship","Regroup: Destroy one random other Location.","true","false"
"99","Xandar","Gain 1 additional IP for each Agent stationed here.","true","false"
"100","X-Mansion","If you do not fully occupy this Location, gain 1 random Merc this month.","true","false"
"101","Orchis Forge","If you station Agent(s) here, you must add a Clone of Sentinel to your Squad this month.","true","false"
"102","Asteroid M","Upset: If you do not fully occupy this Location with exclusively 3 or 4-cost Agents, destroy this Location.","true","false"
"103","Krakoa","Regroup: One random Agent will be stationed here. (Krakoa’s Choice).","true","false"
"104","Pet Mansion","You must fully occupy this Location.","true","false"
"105","The Sandbar","Agents with abilities cannot be stationed here.","false","false"
"107","Milano","Agents may only be stationed here after Upset. ","false","false"
"108","Deep Space","Agents stationed here may not be added to your Squad this month. If you fully occupy this Location, gain a random Merc.","true","false"
"109","Aunt May's","Upset: You may send one Agent stationed here away until next month to gain 3 IP.","false","false"
"110","Great Web","When one of your Agents would move to another Location, it moves to this Location instead, exceeding space limits.","false","false"
